"","unique_id","no3_as_n_Original","no3_as_n","no3_as_n_Cens","no3_as_n_Qualifier","no3_as_n_Symbology","no2_n_mgl_Original","no2_n_mgl","no2_n_mgl_Cens","no2_n_mgl_Qualifier","no2_n_mgl_Symbology","total_n_mgl_Original","total_n_mgl","total_n_mgl_Cens","total_n_mgl_Qualifier","total_n_mgl_Symbology","cl_mg_l_Original","cl_mg_l","cl_mg_l_Cens","cl_mg_l_Qualifier","cl_mg_l_Symbology","br_mg_l_Original","br_mg_l","br_mg_l_Cens","br_mg_l_Qualifier","br_mg_l_Symbology","gwic_id","sample_date_time","lab_name","latitude","longitude","type","aquifer","aquifer_grouped","bg","pch","col","cex"
"190","319867_2022-08-30","4.15",4.15,FALSE,"",4.15,"<0.05",0.05,TRUE,"",-1,"4.27",4.27,FALSE,"",4.27,"31.4",31.4,FALSE,"",31.4,"<0.05",0.05,TRUE,"",-1,"319867",2022-08-30 08:18:00,"City of Billings",45.79808,-108.55192,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"191","319964_2022-10-04","11.5",11.5,FALSE,"",11.5,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"19.7",19.7,FALSE,"",19.7,"<0.05",0.05,TRUE,"",-1,"319964",2022-10-04 13:52:00,"City of Billings",45.74191,-108.68049,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"192","319968_2022-10-27","1.04",1.04,FALSE,"",1.04,"0.07",0.07,FALSE,"",0.07,"1.11",1.11,FALSE,"",1.11,"104",104,FALSE,"",104,"0.3",0.3,FALSE,"",0.3,"319968",2022-10-27 10:19:00,"Energy Labs",45.75491,-108.55115,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"193","319968_2023-03-24","1.910",1.91,FALSE,"",1.91,"0.050",0.05,FALSE,"",0.05,"1.560",1.56,FALSE,"",1.56,"116.800",116.8,FALSE,"",116.8,"305.000",0.305,FALSE,"",305,"319968",2023-03-24 16:37:00,"MBMG",45.75491,-108.55115,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"194","320539_2022-10-05","<0.05",0.05,TRUE,"",-1,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"34.2",34.2,FALSE,"",34.2,"0.3",0.3,FALSE,"",0.3,"320539",2022-10-05 08:40:00,"City of Billings",45.76017244395,-108.4848812665,"WELL","","Quaternary","khaki3",22,"black",2
"195","321108_2022-11-01","2.84",2.84,FALSE,"",2.84,"<0.01",0.01,TRUE,"",-1,"2.84",2.84,FALSE,"",2.84,"20",20,FALSE,"",20,"4.3",4.3,FALSE,"",4.3,"321108",2022-11-01 12:09:00,"Energy Labs",45.76002,-108.5881,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"196","321560_2022-10-04","1.0",1,FALSE,"",1,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"30.3",30.3,FALSE,"",30.3,"0.06",0.06,FALSE,"",0.06,"321560",2022-10-04 12:59:00,"City of Billings",45.71258,-108.64915,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"197","321560_2023-04-10","0.440",0.44,FALSE,"",0.44,"<0.010 U",0.01,TRUE," U",-1,"0.360",0.36,FALSE,"",0.36,"25.630",25.63,FALSE,"",25.63,"93.000",0.093,FALSE,"",93,"321560",2023-04-10 18:44:00,"MBMG",45.71258,-108.64915,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"198","321560_2023-09-07","2.210",2.21,FALSE,"",2.21,"<0.010 U",0.01,TRUE," U",-1,"1.930",1.93,FALSE,"",1.93,"33.030",33.03,FALSE,"",33.03,"100.000",0.1,FALSE,"",100,"321560",2023-09-07 09:25:00,"MBMG",45.71258,-108.64915,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"199","321562_2022-10-03","7.0",7,FALSE,"",7,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"14.7",14.7,FALSE,"",14.7,"<0.05",0.05,TRUE,"",-1,"321562",2022-10-03 14:50:00,"City of Billings",45.71103,-108.70385,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"200","323103_2022-10-03","0.53",0.53,FALSE,"",0.53,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"20.6",20.6,FALSE,"",20.6,"0.06",0.06,FALSE,"",0.06,"323103",2022-10-03 15:17:00,"City of Billings",45.68458,-108.69959,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"201","323103_2023-02-07","0.16",0.16,FALSE,"",0.16,"<0.05",0.05,TRUE,"",-1,"0.16",0.16,FALSE,"",0.16,"24.09",24.09,FALSE,"",24.09,"0.08",0.08,FALSE,"",0.08,"323103",2023-02-07 12:22:00,"City of Billings",45.68458,-108.69959,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"202","323103_2023-03-24","0.050 J",0.05,FALSE," J",0.05,"<0.010 U",0.01,TRUE," U",-1,"<0.200 U",0.2,TRUE," U",-1,"15.730",15.73,FALSE,"",15.73,"80.000",0.08,FALSE,"",80,"323103",2023-03-24 08:23:00,"MBMG",45.68458,-108.69959,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"203","323103_2023-06-05","0.07",0.07,FALSE,"",0.07,"<0.01",0.01,TRUE,"",-1,"0.07",0.07,FALSE,"",0.07,"14",14,FALSE,"",14,"<0.01",0.01,TRUE,"",-1,"323103",2023-06-05 15:15:00,"Energy Labs",45.68458,-108.69959,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"204","323103_2023-08-03","0.92",0.92,FALSE,"",0.92,"<0.01",0.01,TRUE,"",-1,"0.92",0.92,FALSE,"",0.92,"27",27,FALSE,"",27,"<0.01",0.01,TRUE,"",-1,"323103",2023-08-03,"Energy Labs",45.68458,-108.69959,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"205","323103_2023-08-30","0.870",0.87,FALSE,"",0.87,"<0.010 U",0.01,TRUE," U",-1,"0.770",0.77,FALSE,"",0.77,"39.020",39.02,FALSE,"",39.02,"67.000",0.067,FALSE,"",67,"323103",2023-08-30 09:40:00,"MBMG",45.68458,-108.69959,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"206","323846_2022-10-19","3.79",3.79,FALSE,"",3.79,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"17.6",17.6,FALSE,"",17.6,"<0.05",0.05,TRUE,"",-1,"323846",2022-10-19 14:45:00,"City of Billings",45.746913,-108.693614,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"207","323846_2023-02-07","3.76",3.76,FALSE,"",3.76,"<0.05",0.05,TRUE,"",-1,"3.76",3.76,FALSE,"",3.76,"15.45",15.45,FALSE,"",15.45,"0.08",0.08,FALSE,"",0.08,"323846",2023-02-07 11:17:00,"City of Billings",45.746913,-108.693614,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"208","323846_2023-03-23","3.290",3.29,FALSE,"",3.29,"<0.010 U",0.01,TRUE," U",-1,"3.510",3.51,FALSE,"",3.51,"16.210",16.21,FALSE,"",16.21,"96.000",0.096,FALSE,"",96,"323846",2023-03-23 14:18:00,"MBMG",45.746913,-108.693614,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"209","323846_2023-06-09","4.05",4.05,FALSE,"",4.05,"<0.01",0.01,TRUE,"",-1,"4.05",4.05,FALSE,"",4.05,"14",14,FALSE,"",14,"<0.01",0.01,TRUE,"",-1,"323846",2023-06-09 11:30:00,"Energy Labs",45.746913,-108.693614,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"210","323846_2023-08-03","4.1",4.1,FALSE,"",4.1,"<0.01",0.01,TRUE,"",-1,"4.1",4.1,FALSE,"",4.1,"14",14,FALSE,"",14,"<0.01",0.01,TRUE,"",-1,"323846",2023-08-03,"Energy Labs",45.746913,-108.693614,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"211","323846_2023-08-30","3.880",3.88,FALSE,"",3.88,"<0.010 U",0.01,TRUE," U",-1,"3.750",3.75,FALSE,"",3.75,"16.340",16.34,FALSE,"",16.34,"91.000",0.091,FALSE,"",91,"323846",2023-08-30 14:45:00,"MBMG",45.746913,-108.693614,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"212","324275_2022-11-07","3.23",3.23,FALSE,"",3.23,"<0.01",0.01,TRUE,"",-1,"3.23",3.23,FALSE,"",3.23,"38",38,FALSE,"",38,"<0.01",0.01,TRUE,"",-1,"324275",2022-11-07 15:12:00,"Energy Labs",45.77113,-108.559279,"WELL","","Quaternary","khaki3",22,"black",2
"213","324784_2023-01-11","2.83",2.83,FALSE,"",2.83,"<0.01",0.01,TRUE,"",-1,"2.83",2.83,FALSE,"",2.83,"29",29,FALSE,"",29,"<0.01",0.01,TRUE,"",-1,"324784",2023-01-11 15:03:00,"Energy Labs",45.71849,-108.67925,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"214","324784_2023-03-23","2.830",2.83,FALSE,"",2.83,"<0.010 U",0.01,TRUE," U",-1,"2.450",2.45,FALSE,"",2.45,"29.530",29.53,FALSE,"",29.53,"61.000",0.061,FALSE,"",61,"324784",2023-03-23 09:01:00,"MBMG",45.71849,-108.67925,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"215","325487_2023-02-07","10.5",10.5,FALSE,"",10.5,"<0.05",0.05,TRUE,"",-1,"10.5",10.5,FALSE,"",10.5,"45.01",45.01,FALSE,"",45.01,"0.09",0.09,FALSE,"",0.09,"325487",2023-02-07 13:17:00,"City of Billings",45.76942,-108.627735,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"216","325487_2023-03-02","1.82",1.82,FALSE,"",1.82,"<0.01",0.01,TRUE,"",-1,"1.82",1.82,FALSE,"",1.82,"43",43,FALSE,"",43,"<0.01",0.01,TRUE,"",-1,"325487",2023-03-02 12:24:00,"Energy Labs",45.76942,-108.627735,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"217","325487_2023-03-23","9.420",9.42,FALSE,"",9.42,"<0.010 U",0.01,TRUE," U",-1,"9.690",9.69,FALSE,"",9.69,"39.660",39.66,FALSE,"",39.66,"111.000",0.111,FALSE,"",111,"325487",2023-03-23 18:39:00,"MBMG",45.76942,-108.627735,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"218","325487_2023-05-09","11.2",11.2,FALSE,"",11.2,"<0.01",0.01,TRUE,"",-1,"11.2",11.2,FALSE,"",11.2,"47",47,FALSE,"",47,"<0.01",0.01,TRUE,"",-1,"325487",2023-05-09 12:02:00,"Energy Labs",45.76942,-108.627735,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"219","325487_2023-07-06","10.4",10.4,FALSE,"",10.4,"<0.01",0.01,TRUE,"",-1,"10.4",10.4,FALSE,"",10.4,"43",43,FALSE,"",43,"<0.01",0.01,TRUE,"",-1,"325487",2023-07-06 13:20:00,"Energy Labs",45.76942,-108.627735,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"220","325487_2023-09-07","10.810",10.81,FALSE,"",10.81,"<0.010 U",0.01,TRUE," U",-1,"8.860",8.86,FALSE,"",8.86,"43.100",43.1,FALSE,"",43.1,"108.000",0.108,FALSE,"",108,"325487",2023-09-07 08:00:00,"MBMG",45.76942,-108.627735,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"221","325720_2023-03-22","46.920",46.92,FALSE,"",46.92,"<0.050 U",0.05,TRUE," U",-1,"41.600",41.6,FALSE,"",41.6,"120.400",120.4,FALSE,"",120.4,"1030.000",1.03,FALSE,"",1030,"325720",2023-03-22 08:20:00,"MBMG",45.793743,-108.6936,"WELL","111ALVF","Quaternary","khaki3",22,"black",2
"222","325720_2023-08-31","51.770",51.77,FALSE,"",51.77,"<0.050 U",0.05,TRUE," U",-1,"43.400",43.4,FALSE,"",43.4,"133.400",133.4,FALSE,"",133.4,"1060.000",1.06,FALSE,"",1060,"325720",2023-08-31 07:20:00,"MBMG",45.793743,-108.6936,"WELL","111ALVF","Quaternary","khaki3",22,"black",2
"223","325721_2023-03-22","<0.010 U",0.01,TRUE," U",-1,"<0.010 U",0.01,TRUE," U",-1,"<0.200 U",0.2,TRUE," U",-1,"42.540",42.54,FALSE,"",42.54,"113.000",0.113,FALSE,"",113,"325721",2023-03-22 09:06:00,"MBMG",45.778387,-108.63552,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"224","327636_2023-09-08","0.290",0.29,FALSE,"",0.29,"0.040 J",0.04,FALSE," J",0.04,"0.260",0.26,FALSE,"",0.26,"27.380",27.38,FALSE,"",27.38,"106.000",0.106,FALSE,"",106,"327636",2023-09-08 18:45:00,"MBMG",45.74766,-108.59313,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"225","327722_2023-09-07","3.650",3.65,FALSE,"",3.65,"<0.050 U",0.05,TRUE," U",-1,"3.630",3.63,FALSE,"",3.63,"115.600",115.6,FALSE,"",115.6,"463.000",0.463,FALSE,"",463,"327722",2023-09-07 12:20:00,"MBMG",45.79145,-108.65589,"WELL","110ALVF","Quaternary","khaki3",22,"black",2
"226","327723_2023-09-11","<0.010 U",0.01,TRUE," U",-1,"<0.010 U",0.01,TRUE," U",-1,"<0.200 U",0.2,TRUE," U",-1,"5.170",5.17,FALSE,"",5.17,"<10.000 U",0.01,TRUE," U",-1,"327723",2023-09-11 15:10:00,"MBMG",45.76732,-108.56222,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"227","327728_2023-09-08","<0.010 U",0.01,TRUE," U",-1,"<0.010 U",0.01,TRUE," U",-1,"<0.200 U",0.2,TRUE," U",-1,"79.680",79.68,FALSE,"",79.68,"154.000",0.154,FALSE,"",154,"327728",2023-09-08 16:48:00,"MBMG",45.76249,-108.48075,"WELL","110YRT1","Quaternary","khaki3",22,"black",2
"228","327763_2023-09-08","4.880",4.88,FALSE,"",4.88,"0.040 J",0.04,FALSE," J",0.04,"4.350",4.35,FALSE,"",4.35,"29.100",29.1,FALSE,"",29.1,"126.000",0.126,FALSE,"",126,"327763",2023-09-08 17:48:00,"MBMG",45.76357,-108.56131,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"229","327829_2023-09-01","2.020",2.02,FALSE,"",2.02,"0.060",0.06,FALSE,"",0.06,"1.760",1.76,FALSE,"",1.76,"81.060",81.06,FALSE,"",81.06,"205.000",0.205,FALSE,"",205,"327829",2023-09-01 07:30:00,"MBMG",45.78418,-108.51817,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"230","327848_2023-09-08","5.160",5.16,FALSE,"",5.16,"0.040 J",0.04,FALSE," J",0.04,"4.670",4.67,FALSE,"",4.67,"34.220",34.22,FALSE,"",34.22,"162.000",0.162,FALSE,"",162,"327848",2023-09-08 14:23:00,"MBMG",45.74237,-108.65896,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"231","6968_2023-06-05","9.65",9.65,FALSE,"",9.65,"<0.01",0.01,TRUE,"",-1,"9.65",9.65,FALSE,"",9.65,"43",43,FALSE,"",43,"2.6",2.6,FALSE,"",2.6,"6968",2023-06-05 13:00:00,"Energy Labs",45.7119,-108.6366,"WELL","112TRRC","Quaternary","khaki3",22,"black",2
"232","705285_2022-10-03","0.29",0.29,FALSE,"",0.29,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"34.1",34.1,FALSE,"",34.1,"0.07",0.07,FALSE,"",0.07,"705285",2022-10-03 10:32:00,"City of Billings",45.78301,-108.68404,"WELL","111ALVF","Quaternary","khaki3",22,"black",2
"233","705285_2023-02-07","0.97",0.97,FALSE,"",0.97,"<0.05",0.05,TRUE,"",-1,"0.97",0.97,FALSE,"",0.97,"31",31,FALSE,"",31,"0.12",0.12,FALSE,"",0.12,"705285",2023-02-07 09:50:00,"City of Billings",45.78301,-108.68404,"WELL","111ALVF","Quaternary","khaki3",22,"black",2
"234","705285_2023-03-23","1.360",1.36,FALSE,"",1.36,"<0.010 U",0.01,TRUE," U",-1,"1.200",1.2,FALSE,"",1.2,"22.840",22.84,FALSE,"",22.84,"137.000",0.137,FALSE,"",137,"705285",2023-03-23 16:51:00,"MBMG",45.78301,-108.68404,"WELL","111ALVF","Quaternary","khaki3",22,"black",2
"235","705285_2023-06-09","0.88",0.88,FALSE,"",0.88,"<0.01",0.01,TRUE,"",-1,"0.88",0.88,FALSE,"",0.88,"55",55,FALSE,"",55,"<0.01",0.01,TRUE,"",-1,"705285",2023-06-09 10:00:00,"Energy Labs",45.78301,-108.68404,"WELL","111ALVF","Quaternary","khaki3",22,"black",2
"236","705285_2023-08-03","0.91",0.91,FALSE,"",0.91,"<0.01",0.01,TRUE,"",-1,"0.91",0.91,FALSE,"",0.91,"45",45,FALSE,"",45,"0.1",0.1,FALSE,"",0.1,"705285",2023-08-03,"Energy Labs",45.78301,-108.68404,"WELL","111ALVF","Quaternary","khaki3",22,"black",2
"237","705285_2023-08-30","0.690",0.69,FALSE,"",0.69,"<0.010 U",0.01,TRUE," U",-1,"0.700",0.7,FALSE,"",0.7,"39.070",39.07,FALSE,"",39.07,"112.000",0.112,FALSE,"",112,"705285",2023-08-30 18:00:00,"MBMG",45.78301,-108.68404,"WELL","111ALVF","Quaternary","khaki3",22,"black",2
"238","93345_2022-10-10","7.1",7.1,FALSE,"",7.1,"<0.01",0.01,TRUE,"",-1,"6.23",6.23,FALSE,"",6.23,"18.83",18.83,FALSE,"",18.83,"0.071",0.071,FALSE,"",0.071,"93345",2022-10-10 14:18:00,"MBMG Butte, MT",45.729646,-108.66374,"WELL","111TRRC","Quaternary","khaki3",22,"black",2
"239","93691_2022-09-29","2.54",2.54,FALSE,"",2.54,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"111.8",111.8,FALSE,"",111.8,"0.3",0.3,FALSE,"",0.3,"93691",2022-09-29 08:50:00,"City of Billings",45.777297,-108.526446,"WELL","111TRRC","Quaternary","khaki3",22,"black",2
"240","93765_2022-09-15","8.74",8.74,FALSE,"",8.74,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"91.3",91.3,FALSE,"",91.3,"0.24",0.24,FALSE,"",0.24,"93765",2022-09-15 10:15:00,"City of Billings",45.7715658384,-108.543520573,"WELL","111TRRC","Quaternary","khaki3",22,"black",2
"241","93765_2023-09-13","7.160",7.16,FALSE,"",7.16,"<0.010 U",0.01,TRUE," U",-1,"8.330",8.33,FALSE,"",8.33,"77.100",77.1,FALSE,"",77.1,"197.000",0.197,FALSE,"",197,"93765",2023-09-13 07:05:00,"MBMG",45.7715658384,-108.543520573,"WELL","111TRRC","Quaternary","khaki3",22,"black",2
"242","93844_2022-08-29","5.75",5.75,FALSE,"",5.75,"<0.05",0.05,TRUE,"",-1,"6.02",6.02,FALSE,"",6.02,"60.45",60.45,FALSE,"",60.45,"<0.05",0.05,TRUE,"",-1,"93844",2022-08-29 11:02:00,"City of Billings",45.78224,-108.57064,"WELL","111TRRC","Quaternary","khaki3",22,"black",2
"243","93857_2022-08-30","7.95",7.95,FALSE,"",7.95,"<0.05",0.05,TRUE,"",-1,"8.08",8.08,FALSE,"",8.08,"61.9",61.9,FALSE,"",61.9,"<0.05",0.05,TRUE,"",-1,"93857",2022-08-30 12:39:00,"City of Billings",45.77441,-108.5688,"WELL","111TRRC","Quaternary","khaki3",22,"black",2
"244","93991_2022-09-05","1.6",1.6,FALSE,"",1.6,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"58.9",58.9,FALSE,"",58.9,"<0.05",0.05,TRUE,"",-1,"93991",2022-09-05 00:46:00,"City of Billings",45.75853,-108.53493,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"245","94118_2022-08-30","4.05",4.05,FALSE,"",4.05,"<0.05",0.05,TRUE,"",-1,"3.89",3.89,FALSE,"",3.89,"52.05",52.05,FALSE,"",52.05,"<0.05",0.05,TRUE,"",-1,"94118",2022-08-30 09:38:00,"City of Billings",45.752951683,-108.525191209,"WELL","111TRRC","Quaternary","khaki3",22,"black",2
"246","11126_2023-10-17","1.760",1.76,FALSE,"",1.76,"0.020 J",0.02,FALSE," J",0.02,"1.690",1.69,FALSE,"",1.69,"31.540",31.54,FALSE,"",31.54,"154.000",0.154,FALSE,"",154,"11126",2023-10-17 16:10:00,"MBMG",45.81753662,-108.5246309,"WELL","211EGLE","Mesozoic","darkgray",23,"black",2
"247","319988_2022-11-28","<0.01",0.01,TRUE,"",-1,"<0.01",0.01,TRUE,"",-1,"<0.01",0.01,TRUE,"",-1,"53",53,FALSE,"",53,"0.3",0.3,FALSE,"",0.3,"319988",2022-11-28 15:42:00,"Energy Labs",45.7402,-108.62276,"WELL","211NBRR","Mesozoic","darkgray",23,"black",2
"248","319988_2023-03-29","0.050",0.05,FALSE,"",0.05,"<0.010 U",0.01,TRUE," U",-1,"<0.200 U",0.2,TRUE," U",-1,"48.420",48.42,FALSE,"",48.42,"245.000",0.245,FALSE,"",245,"319988",2023-03-29 13:25:00,"MBMG",45.7402,-108.62276,"WELL","211NBRR","Mesozoic","darkgray",23,"black",2
"249","327637_2023-09-07","0.210 J",0.21,FALSE," J",0.21,"0.220 J",0.22,FALSE," J",0.22,"<0.200 U",0.2,TRUE," U",-1,"84.080",84.08,FALSE,"",84.08,"792.000",0.792,FALSE,"",792,"327637",2023-09-07 12:45:00,"MBMG",45.79144,-108.65595,"WELL","211NBRR","Mesozoic","darkgray",23,"black",2
"250","327764_2023-09-01","0.210 J",0.21,FALSE," J",0.21,"0.230 J",0.23,FALSE," J",0.23,"<0.200 U",0.2,TRUE," U",-1,"217.000",217,FALSE,"",217,"1240.000",1.24,FALSE,"",1240,"327764",2023-09-01 08:00:00,"MBMG",45.78418,-108.51822,"WELL","211CRLL","Mesozoic","darkgray",23,"black",2
"251","327847_2023-09-08","0.880",0.88,FALSE,"",0.88,"0.120",0.12,FALSE,"",0.12,"0.760",0.76,FALSE,"",0.76,"38.010",38.01,FALSE,"",38.01,"273.000",0.273,FALSE,"",273,"327847",2023-09-08 14:11:00,"MBMG",45.74237,-108.65899,"WELL","211NBRR","Mesozoic","darkgray",23,"black",2
"252","0_2023-02-08","<0.05",0.05,TRUE,"",-1,"<0.05",0.05,TRUE,"",-1,"<0.05",0.05,TRUE,"",-1,"30.28",30.28,FALSE,"",30.28,"0.07",0.07,FALSE,"",0.07,"0",2023-02-08 13:17:00,"City of Billings",NA,NA,NA,NA,"Quaternary","khaki3",22,"black",2
"253","1_2023-06-01","0.29",0.29,FALSE,"",0.29,"0.02",0.02,FALSE,"",0.02,"0.31",0.31,FALSE,"",0.31,"53",53,FALSE,"",53,"<0.01",0.01,TRUE,"",-1,"1",2023-06-01 12:00:00,"Energy Labs",NA,NA,NA,NA,"Quaternary","khaki3",22,"black",2
