unique_id,no3_as_n_Original,no3_as_n,no3_as_n_Cens,no3_as_n_Qualifier,no3_as_n_Symbology,no2_n_mgl_Original,no2_n_mgl,no2_n_mgl_Cens,no2_n_mgl_Qualifier,no2_n_mgl_Symbology,total_n_mgl_Original,total_n_mgl,total_n_mgl_Cens,total_n_mgl_Qualifier,total_n_mgl_Symbology,cl_mg_l_Original,cl_mg_l,cl_mg_l_Cens,cl_mg_l_Qualifier,cl_mg_l_Symbology,br_mg_l_Original,br_mg_l,br_mg_l_Cens,br_mg_l_Qualifier,br_mg_l_Symbology,gwic_id,sample_date_time,lab_name,latitude,longitude,type,aquifer,aquifer_grouped,bg,pch,col,cex,cl_br_massratio
132564_2023-06-05,11.1,11.1,FALSE,,11.1,<0.01,0.01,TRUE,,-1,11.1,11.1,FALSE,,11.1,22,22,FALSE,,22,<0.01,0.01,TRUE,,-1,132564,6/5/2023 13:30,Energy Labs,45.7122,-108.6373,WELL,112TRRC,Quaternary,khaki3,22,black,2,2200
158589_2023-08-31,14.35,14.35,FALSE,,14.35,<0.010 U,0.01,TRUE, U,-1,12.3,12.3,FALSE,,12.3,136.6,136.6,FALSE,,136.6,135,0.135,FALSE,,135,158589,8/31/2023 11:00,MBMG,45.705102,-108.644155,WELL,111ALVM,Quaternary,khaki3,22,black,2,1011.851852
158606_2023-04-11,3.87,3.87,FALSE,,3.87,<0.010 U,0.01,TRUE, U,-1,3.3,3.3,FALSE,,3.3,31.18,31.18,FALSE,,31.18,66,0.066,FALSE,,66,158606,4/11/2023 15:53,MBMG,45.68604991,-108.726798,WELL,111TRRC,Quaternary,khaki3,22,black,2,472.4242424
171248_2022-10-26,0.02,0.02,FALSE,,0.02,0.04,0.04,FALSE,,0.04,0.06,0.06,FALSE,,0.06,24,24,FALSE,,24,0.4,0.4,FALSE,,0.4,171248,10/26/2022 14:13,Energy Labs,45.72178,-108.6792,WELL,112YRT3,Quaternary,khaki3,22,black,2,60
171253_2022-10-27,3.61,3.61,FALSE,,3.61,0.04,0.04,FALSE,,0.04,3.65,3.65,FALSE,,3.65,10,10,FALSE,,10,<0.01,0.01,TRUE,,-1,171253,10/27/2022 11:46,Energy Labs,45.69699,-108.65226,WELL,110YRT1,Quaternary,khaki3,22,black,2,1000
210785_2023-08-03,11.9,11.9,FALSE,,11.9,0.05,0.05,FALSE,,0.05,11.9,11.9,FALSE,,11.9,43,43,FALSE,,43,0.1,0.1,FALSE,,0.1,210785,8/3/2023,Energy Labs,45.69224,-108.69862,WELL,112YRT3,Quaternary,khaki3,22,black,2,430
263104_2022-10-04,5.06,5.06,FALSE,,5.06,<0.05,0.05,TRUE,,-1,NA,NA,FALSE,NA,NA,92.2,92.2,FALSE,,92.2,0.27,0.27,FALSE,,0.27,263104,10/4/2022 11:19,City of Billings,45.68762,-108.70275,WELL,112YRT2,Quaternary,khaki3,22,black,2,341.4814815
269586_2022-11-07,5.8,5.8,FALSE,,5.8,<0.01,0.01,TRUE,,-1,5.8,5.8,FALSE,,5.8,17,17,FALSE,,17,<0.01,0.01,TRUE,,-1,269586,11/7/2022 16:36,Energy Labs,45.71446667,-108.6759,WELL,,Quaternary,khaki3,22,black,2,1700
287865_2023-06-05,5.34,5.34,FALSE,,5.34,0.02,0.02,FALSE,,0.02,5.36,5.36,FALSE,,5.36,129,129,FALSE,,129,0.4,0.4,FALSE,,0.4,287865,6/5/2023 14:30,Energy Labs,45.705533,-108.62665,WELL,,Quaternary,khaki3,22,black,2,322.5
319248_2023-03-20,2,2,FALSE,,2,0.03,0.03,FALSE,,0.03,2.03,2.03,FALSE,,2.03,25,25,FALSE,,25,<0.01,0.01,TRUE,,-1,319248,3/20/2023 11:26,Energy Labs,45.69711,-108.67862,DITCH OR CANAL,NA,Canal,purple,21,black,2,2500
319433_2023-03-20,4.02,4.02,FALSE,,4.02,0.01,0.01,FALSE,,0.01,4.03,4.03,FALSE,,4.03,23,23,FALSE,,23,<0.01,0.01,TRUE,,-1,319433,3/20/2023 11:17,energy Labs,45.68271,-108.70954,DITCH OR CANAL,NA,Canal,purple,21,black,2,2300
321560_2023-09-07,2.21,2.21,FALSE,,2.21,<0.010 U,0.01,TRUE, U,-1,1.93,1.93,FALSE,,1.93,33.03,33.03,FALSE,,33.03,100,0.1,FALSE,,100,321560,9/7/2023 9:25,MBMG,45.71258,-108.64915,WELL,112YRT2,Quaternary,khaki3,22,black,2,330.3
321562_2022-10-03,7,7,FALSE,,7,<0.05,0.05,TRUE,,-1,NA,NA,FALSE,NA,NA,14.7,14.7,FALSE,,14.7,<0.05,0.05,TRUE,,-1,321562,10/3/2022 14:50,City of Billings,45.71103,-108.70385,WELL,112YRT3,Quaternary,khaki3,22,black,2,294
322681_2022-09-20,<0.05,0.05,TRUE,,-1,<0.05,0.05,TRUE,,-1,NA,NA,FALSE,NA,NA,10.3,10.3,FALSE,,10.3,<0.05,0.05,TRUE,,-1,322681,9/20/2022 11:09,City of Billings,45.71183,-108.72039,DITCH OR CANAL,NA,Canal,purple,21,black,2,206
323103_2023-08-03,0.92,0.92,FALSE,,0.92,<0.01,0.01,TRUE,,-1,0.92,0.92,FALSE,,0.92,27,27,FALSE,,27,<0.01,0.01,TRUE,,-1,323103,8/3/2023,Energy Labs,45.68458,-108.69959,WELL,112YRT2,Quaternary,khaki3,22,black,2,2700
324784_2023-01-11,2.83,2.83,FALSE,,2.83,<0.01,0.01,TRUE,,-1,2.83,2.83,FALSE,,2.83,29,29,FALSE,,29,<0.01,0.01,TRUE,,-1,324784,1/11/2023 15:03,Energy Labs,45.71849,-108.67925,WELL,112YRT3,Quaternary,khaki3,22,black,2,2900
325490_2023-03-20,2.73,2.73,FALSE,,2.73,0.02,0.02,FALSE,,0.02,2.75,2.75,FALSE,,2.75,26,26,FALSE,,26,<0.01,0.01,TRUE,,-1,325490,3/20/2023 12:19,Energy Labs,45.69694,-108.68209,DRAIN,NA,Canal,purple,21,black,2,2600
6968_2023-06-05,9.65,9.65,FALSE,,9.65,<0.01,0.01,TRUE,,-1,9.65,9.65,FALSE,,9.65,43,43,FALSE,,43,2.6,2.6,FALSE,,2.6,6968,6/5/2023 13:00,Energy Labs,45.7119,-108.6366,WELL,112TRRC,Quaternary,khaki3,22,black,2,16.53846154
93345_2022-10-10,7.1,7.1,FALSE,,7.1,<0.01,0.01,TRUE,,-1,6.23,6.23,FALSE,,6.23,18.83,18.83,FALSE,,18.83,0.071,0.071,FALSE,,0.071,93345,10/10/2022 14:18,"MBMG Butte, MT",45.729646,-108.66374,WELL,111TRRC,Quaternary,khaki3,22,black,2,265.2112676
